Day,Month,Precip,Year
01,01,0.0,2001
02,01,6.509007930755615,2001
03,01,0.0,2001
04,01,0.0,2001
05,01,0.0,2001
06,01,0.0,2001
07,01,0.0,2001
08,01,0.0,2001
09,01,0.0,2001
10,01,0.0,2001
11,01,0.0,2001
12,01,1.5588399171829224,2001
13,01,0.0,2001
14,01,0.0,2001
15,01,0.0,2001
16,01,0.0,2001
17,01,0.0,2001
18,01,0.0,2001
19,01,0.0,2001
20,01,0.0,2001
21,01,0.0,2001
22,01,0.0,2001
23,01,0.0,2001
24,01,0.0,2001
25,01,0.0,2001
26,01,0.0,2001
27,01,0.0,2001
28,01,0.0,2001
29,01,0.0,2001
30,01,0.0,2001
31,01,0.0,2001
01,02,0.0,2001
02,02,0.0,2001
03,02,4.608302593231201,2001
04,02,4.608302593231201,2001
05,02,4.608302593231201,2001
06,02,0.0,2001
07,02,0.0,2001
08,02,0.0,2001
09,02,0.0,2001
10,02,0.0,2001
11,02,0.0,2001
12,02,0.0,2001
13,02,0.0,2001
14,02,0.0,2001
15,02,0.0,2001
16,02,0.0,2001
17,02,0.0,2001
18,02,0.0,2001
19,02,0.0,2001
20,02,0.0,2001
21,02,0.0,2001
22,02,0.0,2001
23,02,0.0,2001
24,02,0.0,2001
25,02,0.0,2001
26,02,0.0,2001
27,02,0.0,2001
28,02,0.0,2001
01,03,0.0,2001
02,03,0.0,2001
03,03,0.0,2001
04,03,0.0,2001
05,03,13.373274803161621,2001
06,03,10.837807655334473,2001
07,03,0.0,2001
08,03,0.0,2001
09,03,0.0,2001
10,03,0.0,2001
11,03,5.039364814758301,2001
12,03,0.0,2001
13,03,10.078729629516602,2001
14,03,10.078729629516602,2001
15,03,0.0,2001
16,03,0.0,2001
17,03,0.0,2001
18,03,0.0,2001
19,03,4.366479396820068,2001
20,03,0.0,2001
21,03,8.149438858032227,2001
22,03,0.0,2001
23,03,0.0,2001
24,03,8.149438858032227,2001
25,03,16.298877716064453,2001
26,03,0.0,2001
27,03,0.0,2001
28,03,0.0,2001
29,03,0.0,2001
30,03,0.0,2001
31,03,0.0,2001
01,04,10.42042064666748,2001
02,04,9.117867469787598,2001
03,04,0.0,2001
04,04,0.0,2001
05,04,0.0,2001
06,04,6.488376617431641,2001
07,04,12.976753234863281,2001
08,04,0.0,2001
09,04,6.488376617431641,2001
10,04,0.0,2001
11,04,0.0,2001
12,04,3.7505674362182617,2001
13,04,7.501134872436523,2001
14,04,7.501134872436523,2001
15,04,11.251702308654785,2001
16,04,10.028719902038574,2001
17,04,0.0,2001
18,04,0.0,2001
19,04,10.028719902038574,2001
20,04,0.0,2001
21,04,0.0,2001
22,04,8.262235641479492,2001
23,04,0.0,2001
24,04,0.0,2001
25,04,8.262235641479492,2001
26,04,0.0,2001
27,04,13.833696365356445,2001
28,04,0.0,2001
29,04,0.0,2001
30,04,0.0,2001
01,05,0.0,2001
02,05,0.0,2001
03,05,10.070348739624023,2001
04,05,0.0,2001
05,05,0.0,2001
06,05,0.0,2001
07,05,13.745322227478027,2001
08,05,4.5817742347717285,2001
09,05,9.163548469543457,2001
10,05,4.5817742347717285,2001
11,05,9.109615325927734,2001
12,05,18.21923065185547,2001
13,05,0.0,2001
14,05,0.0,2001
15,05,0.0,2001
16,05,0.0,2001
17,05,8.559673309326172,2001
18,05,8.559673309326172,2001
