Day,Month,Precip,Year
01,01,5.580722332000732,2001
02,01,0.0,2001
03,01,0.0,2001
04,01,0.0,2001
05,01,0.0,2001
06,01,0.0,2001
07,01,0.0,2001
08,01,0.0,2001
09,01,0.0,2001
10,01,0.4926423132419586,2001
11,01,0.0,2001
12,01,0.0,2001
13,01,0.0,2001
14,01,0.0,2001
15,01,0.0,2001
16,01,0.0,2001
17,01,0.0,2001
18,01,0.0,2001
19,01,0.0,2001
20,01,0.0,2001
21,01,0.0,2001
22,01,0.0,2001
23,01,0.0,2001
24,01,0.0,2001
25,01,0.0,2001
26,01,0.0,2001
27,01,0.0,2001
28,01,0.0,2001
29,01,0.0,2001
30,01,0.0,2001
31,01,0.0,2001
01,02,0.0,2001
02,02,0.0,2001
03,02,0.0,2001
04,02,0.0,2001
05,02,7.589072227478027,2001
06,02,0.0,2001
07,02,0.0,2001
08,02,0.0,2001
09,02,0.0,2001
10,02,0.0,2001
11,02,8.269654273986816,2001
12,02,0.0,2001
13,02,0.0,2001
14,02,0.0,2001
15,02,0.0,2001
16,02,0.0,2001
17,02,0.0,2001
18,02,0.0,2001
19,02,0.0,2001
20,02,0.0,2001
21,02,0.0,2001
22,02,0.0,2001
23,02,0.0,2001
24,02,0.0,2001
25,02,0.0,2001
26,02,0.0,2001
27,02,0.0,2001
28,02,0.0,2001
01,03,0.0,2001
02,03,0.0,2001
03,03,0.0,2001
04,03,0.0,2001
05,03,10.077095031738281,2001
06,03,9.713095664978027,2001
07,03,0.0,2001
08,03,0.0,2001
09,03,0.0,2001
10,03,0.0,2001
11,03,0.0,2001
12,03,0.0,2001
13,03,9.0947847366333,2001
14,03,0.0,2001
15,03,0.0,2001
16,03,0.0,2001
17,03,0.0,2001
18,03,0.0,2001
19,03,8.373306274414062,2001
20,03,0.0,2001
21,03,6.305822372436523,2001
22,03,0.0,2001
23,03,0.0,2001
24,03,6.305822372436523,2001
25,03,6.305822372436523,2001
26,03,0.0,2001
27,03,0.0,2001
28,03,0.0,2001
29,03,0.0,2001
30,03,0.0,2001
31,03,0.0,2001
01,04,0.0,2001
02,04,0.0,2001
03,04,0.0,2001
04,04,0.0,2001
05,04,0.0,2001
06,04,12.250153541564941,2001
07,04,0.0,2001
08,04,0.0,2001
09,04,12.250153541564941,2001
10,04,0.0,2001
11,04,0.0,2001
12,04,4.7192301750183105,2001
13,04,9.438460350036621,2001
14,04,9.438460350036621,2001
15,04,14.15769100189209,2001
16,04,10.331636428833008,2001
17,04,0.0,2001
18,04,0.0,2001
19,04,15.497456550598145,2001
20,04,0.0,2001
21,04,0.0,2001
22,04,8.105978965759277,2001
23,04,0.0,2001
24,04,0.0,2001
25,04,8.105978965759277,2001
26,04,0.0,2001
27,04,0.0,2001
28,04,0.0,2001
29,04,0.0,2001
30,04,0.0,2001
01,05,2.5737249851226807,2001
02,05,0.0,2001
03,05,2.5737249851226807,2001
04,05,2.5737249851226807,2001
05,05,2.5737249851226807,2001
06,05,0.0,2001
07,05,9.226499557495117,2001
08,05,4.613249778747559,2001
09,05,9.226499557495117,2001
10,05,4.613249778747559,2001
11,05,4.836655616760254,2001
12,05,24.18327522277832,2001
13,05,0.0,2001
14,05,0.0,2001
15,05,0.0,2001
16,05,0.0,2001
17,05,12.021967887878418,2001
18,05,8.01464557647705,2001
19,05,16.0292911529541,2001
20,05,0.0,2001
21,05,0.0,2001
22,05,6.284814357757568,2001
23,05,6.284814357757568,2001
24,05,6.284814357757568,2001
25,05,6.284814357757568,2001
26,05,6.999885559082031,2001
27,05,6.999885559082031,2001
28,05,3.4999427795410156,2001
29,05,0.0,2001
30,05,6.999885559082031,2001
31,05,3.4999427795410156,2001
01,06,17.458166122436523,2001
02,06,17.458166122436523,2001
03,06,17.458166122436523,2001
04,06,0.0,2001
05,06,0.0,2001
06,06,7.3547563552856445,2001
07,06,36.773780822753906,2001
08,06,7.3547563552856445,2001
09,06,14.709512710571289,2001
10,06,7.3547563552856445,2001
11,06,0.0,2001
12,06,0.0,2001
13,06,27.809083938598633,2001
14,06,0.0,2001
15,06,13.904541969299316,2001
16,06,9.841314315795898,2001
17,06,0.0,2001
18,06,4.920657157897949,2001
19,06,0.0,2001
20,06,9.841314315795898,2001
21,06,40.24929428100586,2001
22,06,0.0,2001
23,06,0.0,2001
24,06,40.24929428100586,2001
25,06,13.41643238067627,2001
26,06,0.0,2001
27,06,5.585866451263428,2001
28,06,11.171732902526855,2001
29,06,11.171732902526855,2001
30,06,5.585866451263428,2001
01,07,0.0,2001
02,07,47.225425720214844,2001
03,07,47.225425720214844,2001
04,07,0.0,2001
