test_site,ji,Model_Type,model_name,house_num,house_name,constraints,prob
Tanganya,0,NullSmart,Buildings,0,All,Spatial,0.7420494699646644
Tanganya,0,NullRandom,Random,0,All,Spatial,0.4981949458483754
Tanganya,0,Model,BRT,0,All,Spatial,0.6028880866425993
Tanganya,0,TS,Optimal,0,All,Spatial,1
Tanganya,1,NullSmart,Buildings,0,All,Spatial,0.7962264150943397
Tanganya,1,NullRandom,Random,0,All,Spatial,0.5076923076923077
Tanganya,1,Model,BRT,0,All,Spatial,0.6231617647058824
Tanganya,1,TS,Optimal,0,All,Spatial,1
Tanganya,2,NullSmart,Buildings,0,All,Spatial,0.7713178294573644
Tanganya,2,NullRandom,Random,0,All,Spatial,0.5179856115107914
Tanganya,2,Model,BRT,0,All,Spatial,0.6395348837209303
Tanganya,2,TS,Optimal,0,All,Spatial,1
Tanganya,3,NullSmart,Buildings,0,All,Spatial,0.7595419847328244
Tanganya,3,NullRandom,Random,0,All,Spatial,0.5150375939849624
Tanganya,3,Model,BRT,0,All,Spatial,0.6011342155009451
Tanganya,3,TS,Optimal,0,All,Spatial,1
Tanganya,4,NullSmart,Buildings,0,All,Spatial,0.7619047619047619
Tanganya,4,NullRandom,Random,0,All,Spatial,0.5421245421245421
Tanganya,4,Model,BRT,0,All,Spatial,0.6290322580645161
Tanganya,4,TS,Optimal,0,All,Spatial,1
Tanganya,5,NullSmart,Buildings,0,All,Spatial,0.7626459143968871
Tanganya,5,NullRandom,Random,0,All,Spatial,0.5448028673835126
Tanganya,5,Model,BRT,0,All,Spatial,0.6148148148148148
Tanganya,5,TS,Optimal,0,All,Spatial,1
Tanganya,6,NullSmart,Buildings,0,All,Spatial,0.7508650519031141
Tanganya,6,NullRandom,Random,0,All,Spatial,0.4647887323943662
Tanganya,6,Model,BRT,0,All,Spatial,0.6039426523297491
Tanganya,6,TS,Optimal,0,All,Spatial,1
Tanganya,7,NullSmart,Buildings,0,All,Spatial,0.7318840579710145
Tanganya,7,NullRandom,Random,0,All,Spatial,0.4861111111111111
Tanganya,7,Model,BRT,0,All,Spatial,0.578397212543554
Tanganya,7,TS,Optimal,0,All,Spatial,1
Tanganya,8,NullSmart,Buildings,0,All,Spatial,0.779783393501805
Tanganya,8,NullRandom,Random,0,All,Spatial,0.5143884892086331
Tanganya,8,Model,BRT,0,All,Spatial,0.5632183908045977
Tanganya,8,TS,Optimal,0,All,Spatial,1
Tanganya,9,NullSmart,Buildings,0,All,Spatial,0.7183098591549296
Tanganya,9,NullRandom,Random,0,All,Spatial,0.4343065693430657
Tanganya,9,Model,BRT,0,All,Spatial,0.6076642335766423
