Variable,"('Tanganya', 'Bantou')","('Tanganya', 'Bafodia')","('Bantou', 'Tanganya')","('Bantou', 'Bafodia')","('Bafodia', 'Tanganya')","('Bafodia', 'Bantou')",Mean
Density_Buildings.100,0.013262916,0.037305474,0.070987694,0.022322083,0.012628086,0.009791777,0.027716338333333337
Density_Buildings.1000,0.0,0.008614014,0.0011371627,0.07782624,0.009591701,0.010257866,0.017904497283333334
Density_Buildings.200,0.0,0.025827074,0.009125565,0.00834249,0.010256791,0.010611501,0.010693903499999999
Density_Buildings.25,0.041747063,0.012337698,0.005608133,0.046978727,0.01130037,0.012305375,0.021712894333333333
Density_Buildings.50,0.038825285,0.010542919,0.055629887,0.19706042,0.010527697,0.009850839,0.05373950783333333
Density_Buildings.500,0.012388673,0.01838233,0.003070956,0.071406715,0.009699069,0.0087016765,0.02060823658333333
Density_Moderns.100,0.022751182,0.0,0.010927941,0.01610754,0.009236094,0.009638411,0.011443528
Density_Moderns.1000,0.0,0.0,0.0,2.2690892e-06,0.009614023,0.009394639,0.0031684885148666668
Density_Moderns.200,0.02429495,0.0130415335,0.014230676,0.019920781,0.0092387255,0.010255219,0.0151636475
Density_Moderns.25,0.0139485635,0.03273765,0.0029436615,0.009742384,0.01598377,0.012449935,0.014634327333333334
Density_Moderns.50,0.02061587,0.011415526,0.0026132409,0.0,0.009308213,0.0105837155,0.009089427566666667
Density_Moderns.500,0.0,0.02997829,0.011350676,0.0,0.009305883,0.009835947,0.010078466
Density_Traditionals.100,0.030188287,0.0039091823,0.043961447,0.0,0.010378882,0.011674885,0.016685447216666666
Density_Traditionals.1000,0.0028716666,0.026757646,0.0018699277,0.0,0.00909505,0.007909787,0.008084012883333333
Density_Traditionals.200,0.027952855,0.0070262644,0.04321467,0.0,0.011981245,0.009934061,0.01668484923333333
Density_Traditionals.25,0.07187034,0.031071262,0.0056447415,0.0,0.0051551573,0.0047188266,0.019743387900000003
Density_Traditionals.50,0.054182287,0.020023284,0.0456195,0.0036177505,0.008632881,0.008340216,0.023402653083333336
Density_Traditionals.500,0.0,0.0,0.0022944163,8.478206e-05,0.011298129,0.010535857,0.004035530726666667
Frac_bare.100,0.0,0.007508118,0.018091436,0.013319438,0.0082975505,0.009065323,0.009380310916666667
Frac_bare.1000,0.012661582,0.009344246,0.0,0.008218973,0.007661846,0.007534146,0.007570132166666666
Frac_bare.200,0.0,0.007566024,0.002289032,0.016659906,0.008251363,0.008081458,0.007141297166666667
Frac_bare.25,0.0,0.0088449875,0.0026043267,0.012807223,0.008713941,0.008069067,0.0068399242
Frac_bare.50,0.0,0.0063151834,0.010541758,0.012137344,0.008138865,0.0080953175,0.007538077983333333
Frac_bare.500,0.0,0.009724986,0.043271,0.012899783,0.00876937,0.0080491025,0.013785706916666666
Frac_burn.100,0.0,0.0013394596,0.0021996372,0.022782343,0.012920998,0.01156785,0.0084683813
Frac_burn.1000,0.0,0.001964076,0.008652357,0.015591059,0.008637867,0.008137397,0.007163792666666666
Frac_burn.200,0.0,0.0,0.0,0.0031795888,0.012230738,0.011391102,0.0044669048
Frac_burn.25,0.0,0.0,0.000998364,0.010460566,0.0,0.0,0.0019098216666666664
Frac_burn.50,0.0,0.0,0.0012898393,0.013110413,0.010327035,0.010783281,0.00591842805
Frac_burn.500,0.0,0.00031358434,0.003083651,0.0062753074,0.034268226,0.0349354,0.013146028123333334
Frac_grass.100,0.010246787,0.008842354,0.0,0.0053087967,0.006821717,0.00646977,0.006281570783333333
Frac_grass.1000,0.0,0.007513467,0.0,0.0035706242,0.010989511,0.009823794,0.0053162326999999995
Frac_grass.200,0.0,0.0051112836,0.0,0.0065856962,0.0068926155,0.01667152,0.00587685255
Frac_grass.25,0.0,0.0023742954,0.0,0.001966997,0.0075917765,0.0074842637,0.0032362221
Frac_grass.50,0.009184921,0.007662991,0.0,0.002216876,0.008188961,0.0107089095,0.0063271097500000005
Frac_grass.500,0.009965044,0.006642245,0.0,0.0051511456,0.014121562,0.015014627,0.008482437266666665
Frac_mound.100,0.0,0.014149071,0.0014811188,2.8950435e-05,0.01001401,0.010535045,0.006034699205833334
Frac_mound.1000,0.0,0.0047326963,0.0024633096,0.013456814,0.010085017,0.011423022,0.007026809816666667
Frac_mound.200,0.017920598,0.015252473,0.003132756,0.056050368,0.010336788,0.01012043,0.0188022355
