"","Variable","training","validation","vi","Type","Range"
"1","Density_Buildings.100","GTB","GTA",0.013262916,"Building density",100
"2","Density_Buildings.100","GTB","SLTA",0.037305474,"Building density",100
"3","Density_Buildings.100","GTA","GTB",0.070987694,"Building density",100
"4","Density_Buildings.100","GTA","SLTA",0.022322083,"Building density",100
"5","Density_Buildings.100","SLTA","GTB",0.012628086,"Building density",100
"6","Density_Buildings.100","SLTA","GTA",0.009791777,"Building density",100
"7","Density_Buildings.100","Mean",NA,0.0277163383333333,"Building density",100
"8","Density_Buildings.1000","GTB","GTA",0,"Building density",1000
"9","Density_Buildings.1000","GTB","SLTA",0.008614014,"Building density",1000
"10","Density_Buildings.1000","GTA","GTB",0.0011371627,"Building density",1000
"11","Density_Buildings.1000","GTA","SLTA",0.07782624,"Building density",1000
"12","Density_Buildings.1000","SLTA","GTB",0.009591701,"Building density",1000
"13","Density_Buildings.1000","SLTA","GTA",0.010257866,"Building density",1000
"14","Density_Buildings.1000","Mean",NA,0.0179044972833333,"Building density",1000
"15","Density_Buildings.200","GTB","GTA",0,"Building density",200
"16","Density_Buildings.200","GTB","SLTA",0.025827074,"Building density",200
"17","Density_Buildings.200","GTA","GTB",0.009125565,"Building density",200
"18","Density_Buildings.200","GTA","SLTA",0.00834249,"Building density",200
"19","Density_Buildings.200","SLTA","GTB",0.010256791,"Building density",200
"20","Density_Buildings.200","SLTA","GTA",0.010611501,"Building density",200
"21","Density_Buildings.200","Mean",NA,0.0106939035,"Building density",200
"22","Density_Buildings.25","GTB","GTA",0.041747063,"Building density",25
"23","Density_Buildings.25","GTB","SLTA",0.012337698,"Building density",25
"24","Density_Buildings.25","GTA","GTB",0.005608133,"Building density",25
"25","Density_Buildings.25","GTA","SLTA",0.046978727,"Building density",25
"26","Density_Buildings.25","SLTA","GTB",0.01130037,"Building density",25
"27","Density_Buildings.25","SLTA","GTA",0.012305375,"Building density",25
"28","Density_Buildings.25","Mean",NA,0.0217128943333333,"Building density",25
"29","Density_Buildings.50","GTB","GTA",0.038825285,"Building density",50
"30","Density_Buildings.50","GTB","SLTA",0.010542919,"Building density",50
"31","Density_Buildings.50","GTA","GTB",0.055629887,"Building density",50
"32","Density_Buildings.50","GTA","SLTA",0.19706042,"Building density",50
"33","Density_Buildings.50","SLTA","GTB",0.010527697,"Building density",50
"34","Density_Buildings.50","SLTA","GTA",0.009850839,"Building density",50
"35","Density_Buildings.50","Mean",NA,0.0537395078333333,"Building density",50
"36","Density_Buildings.500","GTB","GTA",0.012388673,"Building density",500
"37","Density_Buildings.500","GTB","SLTA",0.01838233,"Building density",500
"38","Density_Buildings.500","GTA","GTB",0.003070956,"Building density",500
"39","Density_Buildings.500","GTA","SLTA",0.071406715,"Building density",500
"40","Density_Buildings.500","SLTA","GTB",0.009699069,"Building density",500
"41","Density_Buildings.500","SLTA","GTA",0.0087016765,"Building density",500
"42","Density_Buildings.500","Mean",NA,0.0206082365833333,"Building density",500
"43","Density_Moderns.100","GTB","GTA",0.022751182,"Building density",100
"44","Density_Moderns.100","GTB","SLTA",0,"Building density",100
"45","Density_Moderns.100","GTA","GTB",0.010927941,"Building density",100
"46","Density_Moderns.100","GTA","SLTA",0.01610754,"Building density",100
"47","Density_Moderns.100","SLTA","GTB",0.009236094,"Building density",100
"48","Density_Moderns.100","SLTA","GTA",0.009638411,"Building density",100
"49","Density_Moderns.100","Mean",NA,0.011443528,"Building density",100
"50","Density_Moderns.1000","GTB","GTA",0,"Building density",1000
"51","Density_Moderns.1000","GTB","SLTA",0,"Building density",1000
"52","Density_Moderns.1000","GTA","GTB",0,"Building density",1000
"53","Density_Moderns.1000","GTA","SLTA",2.2690892e-06,"Building density",1000
"54","Density_Moderns.1000","SLTA","GTB",0.009614023,"Building density",1000
"55","Density_Moderns.1000","SLTA","GTA",0.009394639,"Building density",1000
"56","Density_Moderns.1000","Mean",NA,0.00316848851486666,"Building density",1000
"57","Density_Moderns.200","GTB","GTA",0.02429495,"Building density",200
"58","Density_Moderns.200","GTB","SLTA",0.0130415335,"Building density",200
"59","Density_Moderns.200","GTA","GTB",0.014230676,"Building density",200
"60","Density_Moderns.200","GTA","SLTA",0.019920781,"Building density",200
"61","Density_Moderns.200","SLTA","GTB",0.0092387255,"Building density",200
"62","Density_Moderns.200","SLTA","GTA",0.010255219,"Building density",200
"63","Density_Moderns.200","Mean",NA,0.0151636475,"Building density",200
"64","Density_Moderns.25","GTB","GTA",0.0139485635,"Building density",25
"65","Density_Moderns.25","GTB","SLTA",0.03273765,"Building density",25
"66","Density_Moderns.25","GTA","GTB",0.0029436615,"Building density",25
"67","Density_Moderns.25","GTA","SLTA",0.009742384,"Building density",25
"68","Density_Moderns.25","SLTA","GTB",0.01598377,"Building density",25
"69","Density_Moderns.25","SLTA","GTA",0.012449935,"Building density",25
"70","Density_Moderns.25","Mean",NA,0.0146343273333333,"Building density",25
"71","Density_Moderns.50","GTB","GTA",0.02061587,"Building density",50
"72","Density_Moderns.50","GTB","SLTA",0.011415526,"Building density",50
"73","Density_Moderns.50","GTA","GTB",0.0026132409,"Building density",50
"74","Density_Moderns.50","GTA","SLTA",0,"Building density",50
"75","Density_Moderns.50","SLTA","GTB",0.009308213,"Building density",50
"76","Density_Moderns.50","SLTA","GTA",0.0105837155,"Building density",50
"77","Density_Moderns.50","Mean",NA,0.00908942756666666,"Building density",50
"78","Density_Moderns.500","GTB","GTA",0,"Building density",500
"79","Density_Moderns.500","GTB","SLTA",0.02997829,"Building density",500
"80","Density_Moderns.500","GTA","GTB",0.011350676,"Building density",500
"81","Density_Moderns.500","GTA","SLTA",0,"Building density",500
"82","Density_Moderns.500","SLTA","GTB",0.009305883,"Building density",500
"83","Density_Moderns.500","SLTA","GTA",0.009835947,"Building density",500
"84","Density_Moderns.500","Mean",NA,0.010078466,"Building density",500
"85","Density_Traditionals.100","GTB","GTA",0.030188287,"Building density",100
"86","Density_Traditionals.100","GTB","SLTA",0.0039091823,"Building density",100
"87","Density_Traditionals.100","GTA","GTB",0.043961447,"Building density",100
"88","Density_Traditionals.100","GTA","SLTA",0,"Building density",100
"89","Density_Traditionals.100","SLTA","GTB",0.010378882,"Building density",100
"90","Density_Traditionals.100","SLTA","GTA",0.011674885,"Building density",100
"91","Density_Traditionals.100","Mean",NA,0.0166854472166667,"Building density",100
"92","Density_Traditionals.1000","GTB","GTA",0.0028716666,"Building density",1000
"93","Density_Traditionals.1000","GTB","SLTA",0.026757646,"Building density",1000
"94","Density_Traditionals.1000","GTA","GTB",0.0018699277,"Building density",1000
"95","Density_Traditionals.1000","GTA","SLTA",0,"Building density",1000
"96","Density_Traditionals.1000","SLTA","GTB",0.00909505,"Building density",1000
"97","Density_Traditionals.1000","SLTA","GTA",0.007909787,"Building density",1000
"98","Density_Traditionals.1000","Mean",NA,0.00808401288333333,"Building density",1000
"99","Density_Traditionals.200","GTB","GTA",0.027952855,"Building density",200
"100","Density_Traditionals.200","GTB","SLTA",0.0070262644,"Building density",200
"101","Density_Traditionals.200","GTA","GTB",0.04321467,"Building density",200
"102","Density_Traditionals.200","GTA","SLTA",0,"Building density",200
"103","Density_Traditionals.200","SLTA","GTB",0.011981245,"Building density",200
"104","Density_Traditionals.200","SLTA","GTA",0.009934061,"Building density",200
"105","Density_Traditionals.200","Mean",NA,0.0166848492333333,"Building density",200
"106","Density_Traditionals.25","GTB","GTA",0.07187034,"Building density",25
"107","Density_Traditionals.25","GTB","SLTA",0.031071262,"Building density",25
"108","Density_Traditionals.25","GTA","GTB",0.0056447415,"Building density",25
"109","Density_Traditionals.25","GTA","SLTA",0,"Building density",25
"110","Density_Traditionals.25","SLTA","GTB",0.0051551573,"Building density",25
"111","Density_Traditionals.25","SLTA","GTA",0.0047188266,"Building density",25
"112","Density_Traditionals.25","Mean",NA,0.0197433879,"Building density",25
"113","Density_Traditionals.50","GTB","GTA",0.054182287,"Building density",50
"114","Density_Traditionals.50","GTB","SLTA",0.020023284,"Building density",50
"115","Density_Traditionals.50","GTA","GTB",0.0456195,"Building density",50
"116","Density_Traditionals.50","GTA","SLTA",0.0036177505,"Building density",50
"117","Density_Traditionals.50","SLTA","GTB",0.008632881,"Building density",50
"118","Density_Traditionals.50","SLTA","GTA",0.008340216,"Building density",50
"119","Density_Traditionals.50","Mean",NA,0.0234026530833333,"Building density",50
"120","Density_Traditionals.500","GTB","GTA",0,"Building density",500
"121","Density_Traditionals.500","GTB","SLTA",0,"Building density",500
"122","Density_Traditionals.500","GTA","GTB",0.0022944163,"Building density",500
"123","Density_Traditionals.500","GTA","SLTA",8.478206e-05,"Building density",500
"124","Density_Traditionals.500","SLTA","GTB",0.011298129,"Building density",500
"125","Density_Traditionals.500","SLTA","GTA",0.010535857,"Building density",500
"126","Density_Traditionals.500","Mean",NA,0.00403553072666666,"Building density",500
"127","Frac_bare.100","GTB","GTA",0,"Land cover",100
"128","Frac_bare.100","GTB","SLTA",0.007508118,"Land cover",100
"129","Frac_bare.100","GTA","GTB",0.018091436,"Land cover",100
"130","Frac_bare.100","GTA","SLTA",0.013319438,"Land cover",100
"131","Frac_bare.100","SLTA","GTB",0.0082975505,"Land cover",100
"132","Frac_bare.100","SLTA","GTA",0.009065323,"Land cover",100
"133","Frac_bare.100","Mean",NA,0.00938031091666666,"Land cover",100
"134","Frac_bare.1000","GTB","GTA",0.012661582,"Land cover",1000
"135","Frac_bare.1000","GTB","SLTA",0.009344246,"Land cover",1000
"136","Frac_bare.1000","GTA","GTB",0,"Land cover",1000
"137","Frac_bare.1000","GTA","SLTA",0.008218973,"Land cover",1000
"138","Frac_bare.1000","SLTA","GTB",0.007661846,"Land cover",1000
"139","Frac_bare.1000","SLTA","GTA",0.007534146,"Land cover",1000
"140","Frac_bare.1000","Mean",NA,0.00757013216666666,"Land cover",1000
"141","Frac_bare.200","GTB","GTA",0,"Land cover",200
"142","Frac_bare.200","GTB","SLTA",0.007566024,"Land cover",200
"143","Frac_bare.200","GTA","GTB",0.002289032,"Land cover",200
"144","Frac_bare.200","GTA","SLTA",0.016659906,"Land cover",200
"145","Frac_bare.200","SLTA","GTB",0.008251363,"Land cover",200
"146","Frac_bare.200","SLTA","GTA",0.008081458,"Land cover",200
